manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
שברולט,2008,מאליבו,3,אוטומטית,3510,בנזין,N/A,N/A,פתח תקוה והסביבה,פתח תקווה,19500.0,1,2022-07-15,2022-07-15,"שברולט מאליבו, בצבע זהב מטלי, יד שלישית, 150640 קילומטרים מצב מכני מצוין ,4 צמיגים חדשים חווית נהיגה מושלמת ,שמור ",N/A,150600,,4
שברולט,2008,מאליבו,4,אוטומטית,3500,בנזין,N/A,N/A,עכו - נהריה,כפר יאסיף,19000.0,1,2022-07-12,2022-07-12,רכב חזק הכל תקין עבר טיפול גדול   פירוט:  דגם מפואר פתח גג,N/A,350000,,4
שברולט,1988,אפלנדר,2,אוטומטית,6500,דיזל,N/A,N/A,בקעת אונו,גבעת שמואל,24000.0,1,2022-07-10,2022-07-10,רכב במצב טוב סוס עבודה,N/A,250000,,1
שברולט,2011,ספארק,2,ידנית,1200,בנזין,N/A,N/A,"ראשל""צ והסביבה",ראשון לציון,13000.0,1,2022-07-08,2022-07-08,"טסט לשנה עד יוני 2023. רכב חסכוני בדלק, מרווח מאוד ",N/A,187000,,4
שברולט,2008,אוואו,4,אוטומטית,3200,בנזין,N/A,N/A,נתניה והסביבה,כפר יונה,12000.0,1,2022-07-02,2022-07-02,"שברולט קפטיבה מנוע בנזין 3200 ,7 מקומות ישיבה ,מערכת גמ""פ,יש בעיה עם המנוע כנראה שהלך מנוע נוסע אבל לא סוחב,בבדיקה של הרכב במוסך שברולט פספוסי הצתה ,לכן המחיר נמוך",N/A,214000,,5
שברולט,1995,אוואו,1,אוטומטית,4293,בנזין,N/A,N/A,נס ציונה - רחובות,קרית עקרון,5000.0,1,2022-07-02,2022-07-02,ג'י אם סי ספארי.יד ראשונה רכב עומד מספר שנים במצב טוב.מניע ונוסע.יש צורך בטסט ולהיתראות,N/A,304233,,1
שברולט,2011,מאליבו,2,אוטומטית,2400,בנזין,פרטית,ליסינג,באר שבע והסביבה,דימונה,1.0,2,2022-06-14,2022-06-14,"רכב סלון ,מפנק ,אמין ,משרת את המשפחה 9 שנים ,מטופל בזמן ללא חריגות .",אפור,258000,,1
שברולט,2008,אפלנדר,2,אוטומטית,3990,בנזין,N/A,N/A,חולון - בת ים,חולון,30000.0,1,2022-06-09,2022-06-09,רכב נכה עם דלת חשמלית ומעלון.שמור. חמש נוסעים ומרכז הרכב פנוי לכסא גלגלים. נמכר עקב פטירת בעל הרכב.,N/A,80000,,2
שברולט,2000,אלרו,3,אוטומטית,2400,בנזין,N/A,N/A,"ראשל""צ והסביבה",ראשון לציון,9000.0,1,2022-06-08,2022-06-08,מטופלת בחברה 78000 אלף קילומטר טסט עד 02/23   פירוט:  לפרטים נוספים שלחו הודעה בווטסאפ ואחזור 0549800449 לא בשבת תודה ,N/A,78000,,1
שברולט,2011,קרוז,5,אוטומטית,1600,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,11700.0,6,2022-06-06,2022-06-06,"רכב שמור , אפס תקלות קילומטראז' נמוך ביחס לשנה נסיעה נוחה רכב אמריקאי מזגן תקין",שחור,230000,,8
שברולט,2010,מאליבו,2,אוטומטית,3500,בנזין,N/A,N/A,אשדוד - אשקלון,קרית מלאכי,18000.0,1,2022-05-23,2022-05-23,"רכב במצב מצויין נסיעה שקטה וחלקה! לפרטים נוספים נא לחייג, גמיש טיפה לרציניים בלבד!",N/A,123800,,5
שברולט,2007,אוואו,3,אוטומטית,1399,בנזין,N/A,N/A,N/A,Zefat,10000.0,1,2022-05-19,2022-05-19,"רכב במצב מצויין, טסט לעשרה חדשים, 4X2,   פירוט:  מערכת גז אומבל, חסכונית באופן משמעותי ביותר. עם כריות אוויר, ABS, אוטומטי.",N/A,,,3
